NO,ID,MESSAGE,COMMENT,END
120,8010,コントロール設定ファイルのルート要素が、期待しないものでした。\n\n期待したルート要素：<%1%>\n\n実際のルート要素：<%2%>\n\nコントロール設定ファイル：%3%\n\n%4%,%1%…期待したルート要素名が入る。%2%…実際のルート要素名が入る。%3%…コントロール設定絶対ファイルパスが入る。%4%…例外メッセージが入る。,END
121,8011,指定のフォーム[%1%]の設定ファイルが見つかりません。\n\nファイル パスか、フォルダー パスを確認してください。\nフォームズ_フォルダー：\n　　%2%\n\nコントロール設定ファイル（入力ママ）：\n　　%3%\n\nコントロール設定ファイル（フォームズ_フォルダーと結合後）：\n　　%4%\n\n\nコントロール設定ファイル(Fcnf)を読み込もうとしたとき。\n\n%5%,%1%…コントロール名が入る。%2%…Formsフォルダーパスが入る。%3%…コントロール設定ファイル（入力ママ）が入る。%4%…コントロール設定ファイル絶対パス（Formsフォルダーと結合後）が入る。%5%…例外メッセージ。,END
122,8012,レイアウト設定ファイルの[%1%]レコードを元に、\nコントロールの設定ファイルを読み込もうとしたとき。\n\nファイル パスか、フォルダー パスを確認してください。\nファイルが見つかりませんでした。\nフォームズ_フォルダー：\n　　%2%\n\nコントロール設定ファイル（入力ママ）：\n　　%3%\n\nコントロール設定ファイル（フォームズ_フォルダーと結合後）：\n　　%4%\n\nコントロール設定ファイル(Fcnf)を読み込もうとしたとき。\n\n%5%,%1%…コントロール名が入る。%2%…Formsフォルダーパスが入る。%3%…コントロール設定ファイル（入力ママ）が入る。%4%…コントロール設定ファイル絶対パス（Formsフォルダーと結合後）が入る。%5%…例外メッセージ。,END
123,8013,エラー。XMLの書き方にミスがあるかも？\n\nコントロール設定ファイル：%1%\n\n%2%,%1%…コントロール設定ファイル絶対パス（Formsフォルダーと結合後）が入る。%2%…例外メッセージ。,END
124,8014,想定外のエラー。\n\n%1%,%1%…例外メッセージ。,END
125,8015,想定外のエラー。\n\n%1%,%1%…例外メッセージ。,END
126,8016,コントロール設定ファイルに、<%1%>要素以外の要素[%2%]が含まれていました。,%1%…期待するノード名が入る。%2%…実際のノード名が入る。,END
127,8017,「コンポーネント設定ファイル」で指定されている、\n[%1%]という名前のコントロールは、登録されていませんでした。\n\n%2%,%1%…コントロール名が入る。%2%…設定位置パンくずリストが入る。,END
128,8018,＜%1%＞要素の直下に、未対応の要素が書かれていました。\nxChild.Name=[%2%]\n\n%3%%4%,%1%…期待するノード名が入る。%2%…実際のノード名が入る。%3%…設定位置パンくずリストが入る。%4%…例外メッセージが入る。,END
129,8019,予想外の例外。xChild.Name=[%1%]\n\n%2%%3%,%1%…ノード名が入る。%2%…設定位置パンくずリストが入る。%3%…例外メッセージが入る。,END
